1,,
Time (s),Intensity (a.u.),
0.006250000093,40.64426804,
0.01875000075,40.94488144,
0.03125,39.48044968,
0.04374999925,41.99306488,
0.05625000224,39.80714417,
0.06875000149,41.86754608,
0.08125000447,43.32712555,
0.09375,42.00123596,
0.106250003,42.31061554,
0.1187499985,42.34200287,
0.1312500089,41.93426514,
0.143749997,43.76033783,
0.15625,41.36222839,
0.168750003,43.15816116,
0.181250006,43.27784729,
0.1937500089,43.02176666,
0.206249997,42.60233307,
0.21875,43.32537842,
0.231250003,45.11936188,
0.243750006,43.32039642,
0.256249994,43.55510712,
0.2687500119,43.4403801,
0.28125,43.91093445,
0.2937500179,44.47852707,
0.306250006,45.07257462,
0.318749994,44.54486847,
0.3312500119,40.90214157,
0.34375,40.24452209,
0.3562500179,43.8740654,
0.368750006,42.21602631,
0.381249994,45.1781044,
0.3937500119,42.21999741,
0.40625,42.65462112,
0.4187500179,41.59838867,
0.431250006,43.22444153,
0.443749994,42.82305908,
0.4562500119,42.28855515,
0.46875,46.13829041,
0.4812500179,42.69211197,
0.493750006,41.82271957,
0.5062500238,43.61567688,
0.5187500119,42.48240662,
0.53125,41.90643311,
0.5437499881,44.11580276,
0.5562500358,43.32582092,
0.5687500238,43.7340126,
0.5812500119,43.50057602,
0.59375,42.35293961,
0.6062499881,42.24990463,
0.6187500358,43.24042892,
0.6312500238,42.75862122,
0.6437500119,43.48931885,
0.65625,43.62287521,
0.6687499881,43.7340126,
0.6812500358,44.53285599,
0.6937500238,42.4211731,
0.7062500119,43.84724045,
0.71875,42.30118561,
0.7312499881,44.52232742,
0.7437500358,43.90681076,
0.7562500238,45.05424118,
0.7687500119,42.66666794,
0.78125,42.14413071,
0.7937499881,42.98030853,
0.8062500358,43.19371796,
0.8187500238,43.204319,
0.8312500119,43.43369675,
0.84375,42.90684128,
0.8562499881,41.74067307,
0.8687500358,42.76568604,
0.8812500238,44.2899437,
0.8937500119,43.75906372,
0.90625,40.99410629,
0.9187499881,41.96073532,
0.9312500358,42.63109589,
0.9437500238,43.50031662,
0.9562500119,42.76146317,
0.96875,42.61874008,
0.9812499881,43.96159744,
0.9937500358,43.01896286,
1.006250024,43.29949951,
1.018750072,41.86351776,
1.03125,43.37162781,
1.043750048,41.36029434,
1.056249976,41.65595245,
1.068750024,42.69919968,
1.081250072,40.92434692,
1.09375,43.32777786,
1.106250048,43.08127594,
1.118749976,43.29339218,
1.131250024,40.71702957,
1.143750072,46.02947235,
1.15625,43.99644852,
1.168750048,42.13306808,
1.181249976,44.29344559,
1.193750024,42.16398621,
1.206250072,42.2590332,
1.21875,43.29608917,
1.231250048,42.25532913,
1.243749976,41.37931061,
1.256250024,43.64769745,
1.268750072,41.08011246,
1.28125,42.7032547,
1.293750048,42.46856689,
1.306249976,43.04550171,
1.318750024,42.50701904,
1.331250072,40.08275223,
1.34375,43.56904221,
1.356250048,42.84962845,
1.368749976,43.0161972,
1.381250024,42.76777649,
1.393750072,43.41183853,
1.40625,44.4893837,
1.418750048,42.54773712,
1.431249976,41.62930679,
1.443750024,42.72294235,
1.456250072,42.63418198,
1.46875,42.84781265,
1.481250048,41.22375107,
1.493749976,42.56695557,
1.506250024,42.82543564,
1.518750072,41.6395607,
1.53125,41.71479797,
1.543750048,43.40857697,
1.556249976,42.15116501,
1.568750024,44.2083168,
1.581250072,41.84479904,
1.59375,42.56451035,
1.606250048,43.19626617,
1.618749976,44.07255936,
1.631250024,41.3711586,
1.643750072,41.73126602,
1.65625,44.39632034,
1.668750048,42.87781143,
1.681249976,42.41948318,
1.693750024,41.90981293,
1.706250072,43.02494049,
1.71875,44.68552399,
1.731250048,43.26035309,
1.743749976,44.50297928,
1.756250024,40.36626053,
1.768750072,41.6880455,
1.78125,42.00259781,
1.793750048,43.65495682,
1.806249976,41.38285828,
1.818750024,41.81865692,
1.831250072,43.54567719,
1.84375,44.03318405,
1.856250048,42.77381516,
1.868749976,41.39008331,
1.881250024,42.85897827,
1.893750072,41.90904236,
1.90625,41.29984665,
1.918750048,42.5254364,
1.931249976,43.29681778,
1.943750024,41.95446396,
1.956250072,43.17386246,
1.96875,42.63867569,
1.981250048,42.2369957,
1.993749976,44.60303497,
2.006250143,42.06623077,
2.018749952,41.89043808,
2.03125,42.67351913,
2.043750048,41.70944595,
2.056250095,41.79301071,
2.068750143,43.14619064,
2.081249952,41.79065704,
2.09375,42.24422455,
2.106250048,41.76935959,
2.118750095,42.74392319,
2.131250143,43.66527557,
2.143749952,41.15494919,
2.15625,42.59401703,
2.168750048,44.27383041,
2.181250095,41.52344131,
2.193750143,43.74430466,
2.206249952,41.90015411,
2.21875,42.69013596,
2.231250048,44.36772537,
2.243750095,42.09844208,
2.256250143,42.75286865,
2.268749952,40.5248909,
2.28125,42.75045013,
2.293750048,43.06898499,
2.306250095,40.89743805,
2.318750143,41.08690262,
2.331249952,42.80755997,
2.34375,42.05546188,
2.356250048,41.14347076,
2.368750095,41.55911255,
2.381250143,40.61643219,
2.393749952,41.17722702,
2.40625,40.28115845,
2.418750048,41.14583588,
2.431250095,43.58638763,
2.443750143,42.4028244,
2.456249952,43.02881622,
2.46875,43.72827148,
2.481250048,40.43444061,
2.493750095,41.29433823,
2.506250143,43.69570923,
2.518749952,41.14255524,
2.53125,43.77760315,
2.543750048,42.30620193,
2.556250095,43.68174744,
2.568750143,42.62105179,
2.581249952,44.10987854,
2.59375,44.14042282,
2.606250048,42.20231247,
2.618750095,43.76077271,
2.631250143,42.73615646,
2.643749952,44.28243637,
2.65625,41.05994797,
2.668750048,39.54649734,
2.681250095,43.45985413,
2.693750143,43.32083511,
2.706249952,39.60652161,
2.71875,42.35324097,
2.731250048,42.10945892,
2.743750095,42.15739059,
2.756250143,42.05792618,
2.768749952,43.7559433,
2.78125,44.7919426,
2.793750048,42.44678116,
2.806250095,43.12034225,
2.818750143,42.64667892,
2.831249952,41.98522949,
2.84375,42.68054581,
2.856250048,42.35170364,
2.868750095,42.97764206,
2.881250143,41.44004059,
2.893749952,42.68610001,
2.90625,42.1505928,
2.918750048,42.50625229,
2.931250095,43.8459549,
2.943750143,43.67547989,
2.956249952,42.68610001,
2.96875,42.20693207,
2.981250048,41.89171219,
2.993750095,42.71588898,
3.006250143,42.37288284,
3.018749952,41.42087555,
3.03125,41.90525818,
3.043750048,42.08623886,
3.056250095,42.26259613,
3.068750143,41.36220932,
3.081249952,44.16029358,
3.09375,41.25433731,
3.106250048,41.6022644,
3.118750095,40.53527451,
3.131250143,41.94260406,
3.143749952,43.2698555,
3.15625,41.65581894,
3.168750048,42.36735916,
3.181250095,41.88550186,
3.193750143,40.234375,
3.206249952,43.16733932,
3.21875,43.84024811,
3.231250048,42.90212631,
3.243750095,42.31166077,
3.256250143,42.07500458,
3.268749952,43.37662506,
3.28125,41.76935959,
3.293750048,42.36960602,
3.306250095,41.84965134,
3.318750143,41.17473602,
3.331249952,42.51244736,
3.34375,43.23767853,
3.356250048,41.78055191,
3.368750095,42.49180603,
3.381250143,41.98822784,
3.393749952,41.79341507,
3.40625,41.56383896,
3.418750048,44.46178055,
3.431250095,42.99657059,
3.443750143,41.60186768,
3.456249952,41.65578461,
3.46875,42.02879715,
3.481250048,42.46311569,
3.493750095,42.54756927,
3.506250143,41.65044785,
3.518749952,43.25237274,
3.53125,44.03408813,
3.543750048,42.8916893,
3.556250095,41.59491348,
3.568750143,41.98675537,
3.581249952,42.51170349,
3.59375,42.58654785,
3.606250048,40.66954041,
3.618750095,43.02903748,
3.631250143,42.56712723,
3.643749952,41.37753677,
3.65625,42.32943344,
3.668750048,41.72031784,
3.681250095,41.80732346,
3.693750143,42.67004395,
3.706249952,43.38282776,
3.71875,40.77945709,
3.731250048,42.35510254,
3.743750095,41.09589005,
3.756250143,42.82828522,
3.768749952,41.49431229,
3.78125,43.38707352,
3.793750048,42.88320923,
3.806250095,42.78143692,
3.818750143,42.5043869,
3.831249952,42.09566116,
3.84375,41.36252975,
3.856250048,44.18089294,
3.868750095,42.68054581,
3.881250143,44.00977707,
3.893749952,43.46133804,
3.90625,42.10663605,
3.918750048,41.62749863,
3.931250095,41.89224243,
3.943750143,41.30098343,
3.956249952,43.00524521,
3.96875,42.33350754,
3.981250048,41.30064392,
3.993750095,44.05630875,
4.006249905,42.38821411,
4.018750191,42.17564774,
4.03125,41.15755463,
4.043750286,44.62078857,
4.056250095,41.21817017,
4.068749905,43.186306,
4.081250191,40.38384628,
4.09375,41.24121475,
4.106250286,42.10797882,
4.118750095,42.37398148,
4.131249905,40.67174149,
4.143750191,44.35819244,
4.15625,39.54576111,
4.168750286,42.72275925,
4.181250095,41.85986328,
4.193749905,43.87688446,
4.206250191,42.09710693,
4.21875,40.78511429,
4.231250286,42.15786743,
4.243750095,41.39881516,
4.256249905,41.46576691,
4.268750191,42.65898895,
4.28125,44.19111252,
4.293750286,42.10661697,
4.306250095,41.24132156,
4.318749905,43.88553619,
4.331250191,42.23344803,
4.34375,43.14553452,
4.356250286,40.80591583,
4.368750095,41.62848282,
4.381249905,40.10661316,
4.393750191,41.56674957,
4.40625,42.95690918,
4.418750286,39.68960953,
4.431250095,43.68556595,
4.443749905,42.9256897,
4.456250191,42.24619675,
4.46875,43.21066666,
4.481250286,41.45493317,
4.493750095,40.97734833,
4.506249905,40.08169556,
4.518750191,40.42744827,
4.53125,41.72681046,
4.543750286,39.75574875,
4.556250095,42.46631241,
4.568749905,41.87009811,
4.581250191,43.34365082,
4.59375,42.83998489,
4.606250286,43.73706055,
